ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp217	1296.496131	8022.590601	1	  3.9678320E+00	  9.8710020E-02	  2.8380920E+00	  2.1274754E-04
pp218	765.0516302	7839.906554	1	  3.9217390E+00	  9.8600465E-02	  2.7304540E+00	  2.2234827E-04
pp219	366.4682542	7125.778005	1	  3.6260810E+00	  9.7592635E-02	  2.1609840E+00	  2.2434028E-04
pp220	200.3918475	7590.791944	1	  3.9675150E+00	  9.8646170E-02	  2.8002570E+00	  2.3642581E-04
pp221	715.2287082	7325.069693	1	  3.6320520E+00	  9.7727512E-02	  2.2026320E+00	  2.1563618E-04
pp222	814.8745522	6777.017551	1	  3.3250360E+00	  9.5623647E-02	  1.8200870E+00	  2.0248302E-04
pp223	1163.635006	6561.118223	1	  3.2715460E+00	  9.4222369E-02	  1.9545230E+00	  1.8965991E-04
pp224	1445.964897	7125.778005	1	  3.5481560E+00	  9.6764764E-02	  2.2034310E+00	  1.9501370E-04
pp225	549.1523015	6561.118223	1	  3.2479900E+00	  9.4924851E-02	  1.6754330E+00	  2.0734424E-04
pp226	1844.548273	7291.854412	1	  3.7136510E+00	  9.7366317E-02	  2.4339940E+00	  1.9339019E-04
pp227	2093.662883	8055.805883	1	  4.0830820E+00	  9.8710039E-02	  3.0283320E+00	  2.0459508E-04
pp228	2375.992775	7922.944757	1	  4.0937280E+00	  9.8602331E-02	  3.0010780E+00	  2.0137842E-04
pp229	2542.069181	8819.757353	1	  4.5147060E+00	  9.9263038E-02	  3.9444760E+00	  2.1960262E-04
pp230	3123.336605	8587.250384	1	  4.5081620E+00	  9.8829224E-02	  3.7351200E+00	  2.1882319E-04
pp231	3272.805371	9019.049041	1	  4.6525160E+00	  9.8661260E-02	  4.0668700E+00	  2.3047263E-04
pp232	2425.815697	9317.986573	1	  4.6786740E+00	  9.9422823E-02	  4.3304850E+00	  2.2905843E-04
pp233	1927.586477	9650.139386	1	  4.7050620E+00	  9.9674947E-02	  4.3530790E+00	  2.3400541E-04
pp234	3472.097059	9600.316464	1	  4.7828990E+00	  9.8557100E-02	  4.4213720E+00	  2.4530545E-04
pp235	3920.503357	9151.910167	1	  4.6070570E+00	  9.8004381E-02	  3.6668910E+00	  2.4041682E-04
pp236	4833.923593	9401.024777	1	  4.4244890E+00	  1.0078900E-01	  3.0214220E+00	  2.4487696E-04
pp237	5083.038203	9666.747027	1	  4.3735040E+00	  1.0355740E-01	  3.0099660E+00	  2.4548848E-04
pp238	5564.659783	9301.378933	1	  4.1528700E+00	  1.0608030E-01	  2.4697850E+00	  2.2509495E-04
pp239	4601.416624	9052.264323	1	  4.4393310E+00	  9.8536242E-02	  2.9377970E+00	  2.3968158E-04
pp240	5249.11461	8686.896228	1	  4.2145490E+00	  1.0006920E-01	  2.3889350E+00	  2.2184001E-04
pp241	5780.559111	8221.882289	1	  4.1148110E+00	  1.0151820E-01	  3.2530840E+00	  1.9618624E-04
pp242	5215.899329	7756.868351	1	  4.2651280E+00	  9.9199999E-02	  2.8704560E+00	  2.0377497E-04
pp243	4352.302014	7939.552398	1	  4.3576290E+00	  9.8531574E-02	  2.4579930E+00	  2.1306114E-04
pp244	4153.010326	8437.781618	1	  4.4341830E+00	  9.7966407E-02	  2.8440560E+00	  2.2412796E-04
