  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
  2405  0.3239462      0.5629891E-02   0.000000     -0.5785079E-02 -0.4260144E-03   0.000000      0.2270000E-01   0.000000      0.1370908E-01   0.000000      0.1370908E-01   0.000000      0.1370908E-01   0.000000      0.1138000      0.1520201E-01  0.9859799E-01 -0.9627715E-16   15.17497       84.82502    
  2435  0.3244554      0.4043980E-02   0.000000      0.5092012E-03 -0.1585910E-02   0.000000      0.3240000E-01   0.000000      0.1031010E-01   0.000000      0.1031010E-01   0.000000      0.1031010E-01   0.000000      0.1794000      0.2316661E-01  0.1562334      0.2732189E-15   15.17497       84.82502    
  2466  0.3548338      0.1843259E-01   0.000000      0.3037844E-01  0.1438861E-01   0.000000      0.9560000E-01   0.000000      0.2414960E-01   0.000000      0.2414960E-01   0.000000      0.2414960E-01   0.000000      0.1820000      0.2668334E-01  0.1553167      0.3712308E-15   15.17497       84.82502    
  2496  0.3263258      0.9615680E-02   0.000000     -0.2850796E-01 -0.8816915E-02   0.000000      0.3370000E-01   0.000000      0.3521777E-01   0.000000      0.3521777E-01   0.000000      0.3521777E-01   0.000000      0.2528000      0.3580711E-01  0.2169929     -0.1630640E-15   15.17497       84.82502    
  2527  0.3551287      0.2932542E-01   0.000000      0.2880286E-01  0.1970974E-01   0.000000      0.1264000       0.000000      0.4666328E-01   0.000000      0.4666328E-01   0.000000      0.4666328E-01   0.000000      0.2070000      0.3122412E-01  0.1757759      0.5169476E-15   15.17497       84.82502    
  2558  0.3183223      0.5870874E-02   0.000000     -0.3680634E-01 -0.2345454E-01   0.000000      0.1160000E-01   0.000000      0.4250627E-01   0.000000      0.4250627E-01   0.000000      0.4250627E-01   0.000000      0.2142000      0.2935462E-01  0.1848454     -0.6938894E-16   15.17497       84.82502    
  2586  0.4112365      0.1700783E-01   0.000000      0.9291411E-01  0.1113696E-01   0.000000      0.1389000       0.000000      0.9673998E-02   0.000000      0.9673998E-02   0.000000      0.9673998E-02   0.000000      0.1858000      0.2517494E-01  0.1606251     -0.4302114E-15   15.17497       84.82502    
  2617  0.3854777      0.5233679E-01   0.000000     -0.2575877E-01  0.3532895E-01   0.000000      0.1349000       0.000000      0.9945383E-01   0.000000      0.9945383E-01   0.000000      0.9945383E-01   0.000000      0.1612000      0.2587598E-01  0.1353240     -0.9020562E-16   15.17497       84.82502    
  2647  0.3361372      0.1212118E-01   0.000000     -0.4934050E-01 -0.4021560E-01   0.000000      0.1140000E-01   0.000000      0.8160441E-01   0.000000      0.8160441E-01   0.000000      0.8160441E-01   0.000000      0.1316000      0.1935169E-01  0.1122483     -0.6938894E-17   15.17497       84.82502    
  2678  0.3535424      0.1610665E-01   0.000000      0.1740522E-01  0.3985466E-02   0.000000      0.5820000E-01   0.000000      0.2333398E-01   0.000000      0.2333398E-01   0.000000      0.2333398E-01   0.000000      0.9480000E-01  0.1347533E-01  0.8132467E-01 -0.2949030E-15   15.17497       84.82502    
