real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
95,89.8367,84.5448,85.6504,95.6333,94.7792,91.7271,90.133,88.5464,89.0817,89.7471,84.711,98.5732,90.4833,88.4055,86.4889,87.4428,84.4436,85.2402,-7981.69,-11509.4,0.0895855,-6136.91,-9655.83
96,89.7806,84.7037,85.5769,95.1473,94.8501,91.5921,90.0243,88.399,89.2578,89.6563,84.9435,98.6619,90.6583,88.4622,86.4186,87.2358,84.8169,85.3272,-9623.29,-13170.8,0.124334,-7789.94,-11306.8
97,89.8863,84.7192,85.4775,95.0976,94.2955,91.6699,90.184,88.547,89.2477,89.7858,84.9601,98.426,90.795,88.4563,86.1027,87.4214,84.7957,85.4892,-8432.31,-11917.7,0.100434,-7118.21,-10567.5
98,89.7218,84.567,85.4697,95.1738,94.7189,91.709,90.2078,88.5574,89.1956,89.6363,85.2005,98.5094,91.0471,88.6052,86.1874,87.24,85.054,85.4169,-8856.17,-12164.5,0.0855166,-7132.01,-10398.5
99,89.7781,84.8743,85.4739,95.4939,94.6438,91.6512,90.3834,88.6398,89.4208,89.6887,85.0475,98.1817,90.6714,88.1892,86.4293,87.198,85.1182,85.4352,-8560.02,-11594.1,0.089357,-7069.69,-10074.8
100,89.7775,84.6312,85.1462,95.4671,94.5479,91.7803,90.0964,88.8174,89.3188,89.6814,85.103,98.6846,90.4542,88.3346,86.1962,87.4638,84.7689,85.1897,-8958.97,-11072.4,0.0960532,-7398.21,-9490.75
101,89.6395,84.8509,85.4643,95.6718,94.5596,91.4212,90.162,88.6606,89.2208,89.5304,85.4465,98.611,90.9853,88.6146,86.5923,87.3348,85.2462,85.4521,-8959.93,-11471.2,0.109055,-7470.56,-9962.47
102,89.747,84.6263,85.6913,95.2132,94.989,91.4713,89.9068,88.6892,89.321,89.6235,84.7576,98.8841,90.6392,88.2409,86.3,87.2808,84.7636,85.1079,-8008.12,-10525.3,0.123496,-6354.22,-8850.69
103,89.7336,84.4883,85.4266,95.4334,94.7499,91.9685,90.2909,88.5555,89.3292,89.6461,84.8258,98.7615,90.8422,88.3586,86.2025,87.3568,84.9884,85.7081,-7785.07,-10662.9,0.0874621,-6140.07,-9002.15
104,89.5105,84.6253,85.6641,95.1095,94.1666,91.7631,89.953,88.6197,88.8698,89.4143,84.9751,98.647,90.7334,88.3304,86.3509,87.6246,84.9141,85.8126,-7318.4,-10175.5,0.0961234,-5818.74,-8644.7
105,89.8717,84.468,85.4447,95.2072,94.4262,91.7135,90.1274,88.4784,89.1687,89.7695,84.9455,98.4826,90.7925,88.3416,86.4913,87.2475,84.7572,85.3226,-7799.48,-12297.4,0.102156,-6187.2,-10643.4
106,89.8676,84.8974,85.4106,95.081,94.7843,91.4027,90.04,88.8867,89.1844,89.7599,85.2764,98.6121,90.8814,88.3372,86.2683,87.7335,85.1318,85.3335,-8679.17,-10759.8,0.107759,-7564.69,-9618.94
107,89.7448,84.7813,85.3557,95.2875,94.3633,91.6,90.323,88.4296,89.5002,89.6578,85.165,98.6157,90.938,88.7777,86.6804,87.4475,84.9057,85.8213,-8716.13,-10580.4,0.0869731,-7124.39,-8984.27
108,89.7698,84.7228,85.4191,95.2239,94.8355,91.6668,90.0421,88.7931,89.4191,89.6768,84.9499,98.93,90.9167,88.6107,86.6759,87.4496,84.7047,85.6598,-8406.64,-11961.3,0.0929929,-6781.66,-10290.5
109,89.5886,84.8949,85.4395,95.2319,94.5551,91.2759,89.9164,88.6729,89.2886,89.4866,85.0637,98.5601,90.9259,88.3001,86.1961,87.4717,84.7743,85.6154,-8741.44,-10953.7,0.101918,-7561.46,-9760.12
