ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp214	1147.02737	9068.87196	1	3.062E+00	3.135E-01	7.802E+00	5.760E-04
pp215	947.73568	8670.28859	1	3.670E+00	2.260E+00	3.179E+00	4.663E-04
pp216	432.89882	8437.78162	1	2.230E+00	1.165E+00	8.128E+00	3.958E-04
pp217	1296.49613	8022.59060	1	1.836E+00	5.015E-01	4.192E+00	3.178E-04
pp218	765.05163	7839.90655	1	2.720E+00	1.096E+00	8.526E+00	2.258E-04
pp219	366.46825	7125.77801	1	4.182E+00	7.023E-02	6.263E+00	1.721E-04
pp220	200.39185	7590.79194	1	2.999E+00	2.322E-01	6.738E+00	2.853E-04
pp221	715.22871	7325.06969	1	2.363E+00	1.113E-01	9.559E+00	2.149E-04
pp222	814.87455	6777.01755	1	1.059E+01	4.438E-02	5.064E+00	2.486E-04
pp223	1163.63501	6561.11822	1	4.581E+00	2.637E-02	5.242E-01	1.970E-04
pp224	1445.96490	7125.77801	1	4.741E+00	6.464E-02	1.135E+00	2.467E-04
pp225	549.15230	6561.11822	1	8.562E+00	1.591E-01	4.989E+00	2.560E-04
pp226	1844.54827	7291.85441	1	1.895E+00	3.654E-02	1.969E+00	2.871E-04
pp227	2093.66288	8055.80588	1	1.802E+00	3.001E-02	4.975E-01	2.669E-04
pp228	2375.99278	7922.94476	1	1.318E+00	7.264E-03	1.194E+00	2.884E-04
pp229	2542.06918	8819.75735	1	2.604E+00	9.298E-02	1.557E+00	1.625E-04
pp230	3123.33661	8587.25038	1	2.350E+00	7.239E-02	1.209E+00	2.302E-04
pp231	3272.80537	9019.04904	1	2.671E+00	3.847E-01	1.523E+00	3.002E-04
pp232	2425.81570	9317.98657	1	5.501E+00	1.417E-01	3.463E+00	2.166E-04
pp233	1927.58648	9650.13939	1	7.353E+00	8.091E-02	1.808E+00	2.422E-04
pp234	3472.09706	9600.31646	1	4.345E+00	1.340E-01	1.272E+00	3.776E-04
pp235	3920.50336	9151.91017	1	1.246E+01	1.805E-01	9.431E-01	2.720E-04
pp236	4833.92359	9401.02478	1	1.632E+01	1.363E-01	1.314E+01	2.908E-04
pp237	5083.03820	9666.74703	1	1.157E+01	1.270E-01	2.173E+01	3.513E-04
pp238	5564.65978	9301.37893	1	3.560E+00	9.181E-02	3.331E+01	3.337E-04
pp239	4601.41662	9052.26432	1	1.888E+01	1.827E-01	2.842E+00	2.506E-04
pp240	5249.11461	8686.89623	1	1.097E+01	9.782E-02	5.934E+00	3.678E-04
pp241	5780.55911	8221.88229	1	2.068E+01	1.094E-01	4.216E+00	3.744E-04
pp242	5215.89933	7756.86835	1	7.020E+00	1.692E-02	3.451E+00	1.611E-04
pp243	4352.30201	7939.55240	1	1.938E+01	6.038E-01	2.121E+00	2.571E-04
pp244	4153.01033	8437.78162	1	1.919E+01	1.602E-01	5.260E+00	2.449E-04
pp245	3671.38875	7856.51420	1	7.016E+00	1.862E-01	1.641E+00	4.932E-04
pp246	2890.82964	7258.63913	1	8.453E-01	3.549E-02	1.005E+00	6.494E-04
pp247	3372.45122	7740.26071	1	2.233E+00	7.987E-02	9.736E-01	5.399E-04
pp248	3937.11100	7341.67733	1	2.346E+01	5.153E-01	2.602E+00	4.915E-04
pp249	4618.02427	7158.99329	1	3.021E+01	2.001E-01	1.872E+00	1.995E-04
pp250	5132.86113	7524.36138	1	8.037E+00	3.561E-02	1.360E+00	1.543E-04
pp251	4667.84719	7308.46205	1	2.483E+01	1.776E-01	1.641E+00	1.689E-04
pp252	5531.44450	6610.94115	1	1.028E+01	7.518E-02	1.131E+00	2.395E-04
pp253	5548.05214	6710.58699	1	7.128E+00	1.449E-01	1.302E+00	2.226E-04
pp254	5730.73619	7408.10790	1	5.247E+00	5.435E-02	3.126E+00	3.017E-04
pp255	6096.10428	7142.38565	1	5.949E+00	2.329E-01	3.019E+00	2.839E-04
pp256	5880.20496	6943.09396	1	4.300E+00	4.495E-01	1.553E+00	2.542E-04
pp257	5166.07641	6959.70160	1	1.028E+01	4.093E-02	2.950E+00	2.278E-04
pp258	5747.34383	6527.90294	1	6.044E+00	1.626E-01	1.455E+00	1.824E-04
pp259	6046.28136	6129.31957	1	5.923E+00	4.094E-02	3.678E+00	2.204E-04
pp260	6029.67372	5747.34383	1	8.020E+00	1.760E-02	3.848E+00	3.063E-04
pp261	6511.29530	5597.87506	1	2.107E+00	4.164E-02	6.932E+00	2.721E-04
pp262	6660.76407	5747.34383	1	3.566E+00	1.052E-01	6.185E+00	2.745E-04
pp263	6909.87868	5564.65978	1	4.490E+00	2.683E-02	3.197E+00	1.649E-04
pp264	7042.73980	5431.79866	1	3.624E+00	1.832E-02	4.552E+00	1.661E-04
pp265	7707.04543	5581.26742	1	7.193E+00	1.645E-02	8.352E+00	1.090E-04
pp266	7989.37532	5763.95147	1	4.783E+00	1.021E-02	5.579E+00	1.519E-04
pp267	8321.52813	5747.34383	1	4.893E+00	2.352E-02	8.245E+00	1.786E-04
pp268	8670.28859	5564.65978	1	2.768E+00	1.545E-01	5.274E+00	2.286E-04
pp269	8936.01084	5979.85080	1	2.776E+00	1.413E-01	2.340E+00	2.792E-04
pp270	8470.99690	6295.39597	1	3.887E+00	1.133E-02	3.393E+00	2.920E-04
pp271	8703.50387	6644.15643	1	1.695E+00	7.340E-03	1.837E+00	2.906E-04
pp272	8869.58028	7158.99329	1	1.583E+00	4.345E-02	2.196E+00	3.046E-04
pp273	8720.11151	7225.42385	1	1.227E+00	1.106E-01	3.485E+00	3.272E-04
pp274	8454.38926	6976.30924	1	1.609E+00	3.905E-02	2.766E+00	1.651E-04
pp275	9234.94837	7026.13216	1	1.405E+00	6.612E-02	1.598E+00	3.041E-04
pp276	9168.51781	7408.10790	1	5.349E-01	1.195E-01	4.589E+00	2.850E-04
pp277	9002.44140	7806.69127	1	6.457E-01	1.045E-01	8.684E+00	3.200E-04
pp278	9168.51781	7956.16004	1	9.348E-01	8.579E-02	6.540E+00	2.999E-04
pp279	8537.42746	8437.78162	1	1.735E+00	2.711E-01	8.814E+00	5.094E-04
pp280	8155.45173	8936.01084	1	9.260E-01	3.245E-01	7.461E+00	3.390E-04
pp281	8803.14971	9234.94837	1	3.600E-01	1.234E-01	7.323E+00	3.751E-04
pp282	8172.05937	9301.37893	1	1.271E+00	2.745E-01	1.360E+01	2.976E-04
pp283	7839.90655	9284.77129	1	1.262E+00	6.740E-01	1.780E+01	3.250E-04
pp284	7590.79194	9567.10118	1	3.683E+00	4.912E-01	2.163E+01	3.595E-04
pp285	7142.38565	9052.26432	1	3.522E+00	3.297E-01	6.443E+00	2.487E-04
pp286	6594.33350	9533.88590	1	6.021E+00	2.464E-01	1.375E+01	2.660E-04
pp287	5996.45844	9600.31646	1	2.764E+00	1.023E-01	1.266E+01	2.883E-04
pp288	6743.80227	9650.13939	1	4.796E+00	6.504E-01	1.436E+01	2.459E-04
pp289	7208.81621	9450.84770	1	3.108E+00	4.695E-01	1.184E+01	2.950E-04
pp290	7491.14610	9417.63242	1	4.297E+00	5.020E-01	1.033E+01	2.790E-04
pp291	7906.33712	9749.78523	1	2.420E+00	5.711E-01	1.705E+01	4.300E-04
pp292	8188.66701	9733.17759	1	1.358E+00	2.629E-01	1.101E+01	3.720E-04
pp293	6328.61125	9168.51781	1	4.852E+00	2.026E-01	1.288E+01	2.786E-04
pp294	6046.28136	8653.68095	1	1.273E+01	6.891E-02	6.192E+00	3.377E-04
